자치구별,연도,안락사율,전체_소계,전체_인도(주인),전체_입양_기증,전체_폐사안락사,전체_계류방사
종로구,2023,63.35403726708074,161,32,25,102,2
중구,2023,50.0,100,23,26,50,1
용산구,2023,27.848101265822784,237,106,58,66,7
성동구,2023,42.285714285714285,175,22,79,74,0
광진구,2023,42.3728813559322,177,38,64,75,0
동대문구,2023,31.797235023041477,217,41,96,69,11
중랑구,2023,44.14414414414414,222,49,69,98,6
성북구,2023,49.740932642487046,193,52,44,96,1
강북구,2023,45.378151260504204,238,60,69,108,1
도봉구,2023,38.70967741935484,186,56,57,72,1
노원구,2023,49.46808510638298,188,51,43,93,1
은평구,2023,52.066115702479344,242,60,54,126,2
서대문구,2023,47.26027397260274,146,34,43,69,0
마포구,2023,23.44213649851632,337,41,189,79,28
양천구,2023,39.03508771929825,228,59,71,89,9
강서구,2023,53.11203319502075,241,61,52,128,0
구로구,2023,49.19786096256685,187,47,46,92,2
금천구,2023,54.37499999999999,160,32,41,87,0
영등포구,2023,45.27027027027027,148,42,37,67,2
동작구,2023,31.06796116504854,206,52,84,64,6
관악구,2023,44.14715719063545,299,80,80,132,7
서초구,2023,44.390243902439025,205,34,75,91,5
강남구,2023,29.878048780487802,164,56,59,49,0
송파구,2023,51.00401606425703,249,39,83,127,0
강동구,2023,28.888888888888886,270,73,113,78,6
종로구,2024,67.78846153846155,208,20,47,141,0
중구,2024,47.14285714285714,70,17,18,33,2
용산구,2024,31.88976377952756,254,79,90,81,4
성동구,2024,63.02521008403361,119,19,25,75,0
광진구,2024,57.72357723577236,123,25,25,71,2
동대문구,2024,14.983713355048861,307,38,168,46,55
중랑구,2024,49.13294797687861,173,51,36,85,1
성북구,2024,57.9646017699115,226,60,34,131,1
강북구,2024,49.61538461538461,260,44,85,129,2
도봉구,2024,51.11111111111111,135,41,21,69,4
노원구,2024,58.152173913043484,184,42,35,107,0
은평구,2024,63.25878594249201,313,36,76,198,3
서대문구,2024,33.33333333333333,123,34,41,41,7
마포구,2024,30.526315789473685,285,39,138,87,21
양천구,2024,34.66666666666667,150,46,48,52,4
강서구,2024,56.837606837606835,234,45,49,133,7
구로구,2024,47.34299516908212,207,49,53,98,7
금천구,2024,61.212121212121204,165,31,32,101,1
영등포구,2024,42.42424242424242,99,39,15,42,3
동작구,2024,21.311475409836063,183,44,89,39,11
관악구,2024,40.229885057471265,261,79,65,105,12
서초구,2024,32.0,125,24,54,40,7
강남구,2024,42.465753424657535,73,24,18,31,0
송파구,2024,61.49732620320856,187,44,26,115,2
강동구,2024,29.30232558139535,215,52,85,63,15
