"자치구별(1)",자치구별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,개,개,개,개,개,고양이,고양이,고양이,고양이,고양이,기타,기타,기타,기타,기타
"자치구별(1)",자치구별(2),소계,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사,소계,인도(주인),입양 기증,폐사안락사,계류 방사
"합계",소계,4278,1980,818,693,417,52,2055,51,794,1111,99,243,12,126,90,15
"합계",종로구,153,48,13,11,24,-,101,1,19,78,3,4,-,-,4,-
"합계",중구,51,23,11,7,5,-,20,2,7,9,2,8,1,3,2,2
"합계",용산구,223,78,50,17,11,-,135,2,68,62,3,10,-,8,2,-
"합계",성동구,145,45,23,16,6,-,88,5,52,29,2,12,-,9,3,-
"합계",광진구,115,46,16,21,9,-,68,-,16,52,-,1,-,-,1,-
"합계",동대문구,373,80,27,39,3,11,274,2,185,34,53,19,-,6,1,12
"합계",중랑구,136,67,43,16,8,-,56,-,18,38,-,13,1,4,8,-
"합계",성북구,163,73,39,12,22,-,83,1,15,66,1,7,-,3,4,-
"합계",강북구,173,113,51,33,29,-,50,-,13,35,2,10,-,5,5,-
"합계",도봉구,100,57,26,15,16,-,39,1,7,31,-,4,-,2,2,-
"합계",노원구,237,170,24,114,25,7,61,1,10,47,3,6,-,3,3,-
"합계",은평구,207,101,24,21,55,1,90,-,19,68,3,16,1,11,4,-
"합계",서대문구,160,106,52,39,2,13,48,3,10,34,1,6,-,5,1,-
"합계",마포구,182,48,30,9,4,5,121,3,40,71,7,13,-,9,4,-
"합계",양천구,118,53,34,15,4,-,58,4,22,28,4,7,1,2,4,-
"합계",강서구,194,91,37,36,16,2,87,2,26,58,1,16,1,5,10,-
"합계",구로구,163,77,39,22,16,-,71,-,18,53,-,15,2,8,5,-
"합계",금천구,193,105,23,37,44,1,78,1,23,54,-,10,-,6,3,1
"합계",영등포구,100,45,29,13,3,-,42,3,6,32,1,13,-,9,4,-
"합계",동작구,207,69,40,16,13,-,131,5,74,48,4,7,-,4,3,-
"합계",관악구,292,191,64,71,56,-,88,1,57,28,2,13,3,6,4,-
"합계",서초구,91,43,13,21,8,1,40,-,15,24,1,8,-,7,1,-
"합계",강남구,113,81,31,42,7,1,25,5,4,16,-,7,2,3,2,-
"합계",송파구,205,95,36,36,22,1,101,2,20,78,1,9,-,4,5,-
"합계",강동구,184,75,43,14,9,9,100,7,50,38,5,9,-,4,5,-
